timestamp,symbol,price_usd,rsi_14,sma_20,sma_50,pct_change_1h,decision,confidence
2026-06-17T17:00:00+00:00,BTC,66104.08,50.0,65984.1,65984.1,0.36,HOLD,50
2026-06-17T18:00:00+00:00,BTC,65516.0,50.0,65828.07,65828.07,-0.89,HOLD,50
2026-06-17T19:00:00+00:00,BTC,64301.85,50.0,65446.51,65446.51,-1.85,BEARISH,55
2026-06-17T20:00:00+00:00,BTC,64434.36,50.0,65244.08,65244.08,0.21,HOLD,50
2026-06-17T21:00:00+00:00,BTC,64257.77,50.0,65079.7,65079.7,-0.27,HOLD,50
2026-06-17T22:00:00+00:00,BTC,64300.01,50.0,64968.31,64968.31,0.07,HOLD,50
2026-06-17T23:00:00+00:00,BTC,64509.4,50.0,64910.95,64910.95,0.33,HOLD,50
2026-06-18T00:00:00+00:00,BTC,64468.01,50.0,64861.73,64861.73,-0.06,HOLD,50
2026-06-18T01:00:00+00:00,BTC,64548.74,50.0,64830.43,64830.43,0.13,HOLD,50
2026-06-18T02:00:00+00:00,BTC,64689.5,50.0,64817.62,64817.62,0.22,HOLD,50
2026-06-18T03:00:00+00:00,BTC,64282.82,50.0,64773.06,64773.06,-0.63,HOLD,50
2026-06-18T04:00:00+00:00,BTC,63883.41,50.0,64704.62,64704.62,-0.62,HOLD,50
2026-06-18T05:00:00+00:00,BTC,63994.0,50.0,64653.86,64653.86,0.17,HOLD,50
2026-06-18T06:00:00+00:00,BTC,64083.41,27.0,64615.83,64615.83,0.14,HOLD,50
2026-06-18T07:00:00+00:00,BTC,64510.44,30.4,64609.25,64609.25,0.67,BULLISH,70
2026-06-18T08:00:00+00:00,BTC,64399.92,34.4,64596.93,64596.93,-0.17,HOLD,50
2026-06-18T09:00:00+00:00,BTC,64199.53,48.0,64574.85,64574.85,-0.31,HOLD,50
2026-06-18T10:00:00+00:00,BTC,64078.61,43.0,64548.74,64548.74,-0.19,HOLD,50
2026-06-18T11:00:00+00:00,BTC,63974.4,44.3,64520.02,64520.02,-0.16,HOLD,50
2026-06-18T12:00:00+00:00,BTC,64378.07,51.4,64445.72,64513.26,0.63,HOLD,50
